source_ENSEMBL target_ENSEMBL interaction
ENSG00000012048 ENSG00000124762 1
ENSG00000012048 ENSG00000134574 1
ENSG00000012048 ENSG00000134363 1
ENSG00000012048 ENSG00000137869 1
ENSG00000012048 ENSG00000213928 1
ENSG00000012048 ENSG00000100393 1
ENSG00000012048 ENSG00000164109 1
ENSG00000012048 ENSG00000169016 -1
ENSG00000012048 ENSG00000197919 1
ENSG00000012048 ENSG00000146648 -1
ENSG00000012048 ENSG00000044574 -1
ENSG00000012048 ENSG00000054598 -1
ENSG00000012048 ENSG00000117984 -1
ENSG00000012048 ENSG00000149948 -1
ENSG00000012048 ENSG00000122566 -1
ENSG00000012048 ENSG00000115415 1
ENSG00000012048 ENSG00000017427 -1
ENSG00000166164 ENSG00000204256 1
ENSG00000166164 ENSG00000169925 1
ENSG00000166164 ENSG00000112242 -1
ENSG00000095564 ENSG00000112592 -1
ENSG00000095564 ENSG00000117505 -1
ENSG00000145741 ENSG00000149311 1
ENSG00000145741 ENSG00000133216 1
ENSG00000145741 ENSG00000133818 -1
ENSG00000145741 ENSG00000143322 1
ENSG00000145741 ENSG00000172987 1
ENSG00000145741 ENSG00000123096 -1
ENSG00000145741 ENSG00000109320 -1
ENSG00000145741 ENSG00000099866 -1
ENSG00000145741 MRVI1 -1
ENSG00000159388 ENSG00000176170 1
ENSG00000159388 ENSG00000110092 -1
ENSG00000159388 ENSG00000142515 -1
ENSG00000159388 ENSG00000174775 -1
ENSG00000129993 ENSG00000198740 -1
ENSG00000100307 ENSG00000105173 -1
ENSG00000100307 ENSG00000039068 1
ENSG00000141570 ENSG00000124762 -1
ENSG00000164649 ENSG00000069535 -1
ENSG00000113722 ENSG00000132170 1
ENSG00000113722 ENSG00000073756 1
ENSG00000113722 ENSG00000132646 1
ENSG00000165556 ENSG00000134982 1
ENSG00000165556 ENSG00000124762 1
ENSG00000165556 ENSG00000146674 -1
ENSG00000165556 ENSG00000120437 1
ENSG00000165556 ENSG00000115850 1
ENSG00000165556 ENSG00000160180 1
ENSG00000165556 ENSG00000088386 1
ENSG00000165556 ENSG00000176920 1
ENSG00000165556 ENSG00000073756 -1
ENSG00000165556 ENSG00000168646 1
ENSG00000165556 ENSG00000242515 1
ENSG00000165556 ENSG00000112818 1
ENSG00000165556 ENSG00000242366 1
ENSG00000165556 ENSG00000079112 1
ENSG00000165556 ENSG00000102890 1
ENSG00000165556 ENSG00000089472 1
ENSG00000165556 ENSG00000136826 1
ENSG00000165556 ENSG00000198788 1
ENSG00000165556 ENSG00000001626 1
ENSG00000245848 ENSG00000147465 1
ENSG00000245848 ENSG00000171105 1
ENSG00000245848 ENSG00000101981 1
ENSG00000245848 ENSG00000197561 1
ENSG00000245848 ENSG00000198189 1
ENSG00000245848 ENSG00000133661 1
ENSG00000245848 ENSG00000171791 -1
ENSG00000245848 ENSG00000184557 1
ENSG00000245848 ENSG00000170606 1
ENSG00000245848 ENSG00000140678 1
ENSG00000245848 ENSG00000174697 1
ENSG00000245848 ENSG00000136997 -1
ENSG00000245848 ENSG00000017427 1
ENSG00000245848 ENSG00000163220 1
ENSG00000245848 ENSG00000105697 1
ENSG00000245848 ENSG00000119535 1
ENSG00000245848 ENSG00000117601 1
ENSG00000245848 ENSG00000108691 1
ENSG00000245848 ENSG00000118785 1
ENSG00000172216 ENSG00000137265 1
ENSG00000172216 ENSG00000123610 1
ENSG00000172216 ENSG00000147465 1
ENSG00000172216 ENSG00000134339 1
ENSG00000172216 ENSG00000180914 1
ENSG00000172216 ENSG00000285241 1
ENSG00000172216 ENSG00000119535 1
ENSG00000172216 ENSG00000283706 1
ENSG00000172216 ENSG00000132693 1
ENSG00000172216 ENSG00000148926 1
ENSG00000172216 ENSG00000169429 1
ENSG00000172216 ENSG00000171105 1
ENSG00000172216 ENSG00000124762 1
ENSG00000172216 ENSG00000127554 -1
ENSG00000172216 ENSG00000100219 1
ENSG00000172216 ENSG00000262217 1
ENSG00000172216 ENSG00000125538 1
ENSG00000172216 ENSG00000113520 1
ENSG00000172216 ENSG00000256870 1
ENSG00000172216 ENSG00000136244 1
ENSG00000172216 ENSG00000100889 1
ENSG00000172216 ENSG00000137869 -1
ENSG00000172216 ENSG00000159176 1
ENSG00000172216 ENSG00000085563 1
ENSG00000172216 ENSG00000130513 1
ENSG00000172216 ENSG00000140564 1
ENSG00000172216 ENSG00000163220 1
ENSG00000172216 ENSG00000173638 1
ENSG00000172216 ENSG00000133661 1
ENSG00000172216 ENSG00000057657 1
ENSG00000221869 ENSG00000110944 1
ENSG00000221869 ENSG00000163739 1
ENSG00000221869 ENSG00000115009 1
ENSG00000221869 ENSG00000132170 1
ENSG00000221869 ENSG00000123610 1
ENSG00000221869 ENSG00000137869 -1
ENSG00000221869 ENSG00000204531 1
ENSG00000221869 ENSG00000142168 1
ENSG00000092067 ENSG00000186652 -1
ENSG00000092067 ENSG00000136997 -1
ENSG00000092067 ENSG00000102145 -1
ENSG00000092067 ENSG00000066336 -1
ENSG00000153879 ENSG00000133661 1
ENSG00000115816 ENSG00000076242 -1
ENSG00000115816 ENSG00000134982 1
ENSG00000115816 ENSG00000060718 -1
ENSG00000111642 ENSG00000105369 -1
ENSG00000100888 ENSG00000175305 1
ENSG00000179583 ENSG00000204287 1
ENSG00000179583 ENSG00000234745 1
ENSG00000179583 ENSG00000204257 1
ENSG00000179583 ENSG00000204525 1
ENSG00000179583 ENSG00000100985 -1
ENSG00000179583 ENSG00000196154 -1
ENSG00000179583 ENSG00000164692 -1
ENSG00000179583 ENSG00000204252 1
ENSG00000179583 ENSG00000206503 1
ENSG00000179583 ENSG00000241106 1
ENSG00000179583 ENSG00000242574 1
ENSG00000179583 ENSG00000087191 1
ENSG00000179583 ENSG00000108821 -1
ENSG00000179583 ENSG00000096717 -1
ENSG00000164442 ENSG00000196611 -1
ENSG00000164442 ENSG00000137745 -1
ENSG00000134852 ENSG00000105835 1
ENSG00000134852 ENSG00000121671 1
ENSG00000134852 ENSG00000147465 1
ENSG00000134852 ENSG00000179094 1
ENSG00000134852 ENSG00000113580 -1
ENSG00000134852 ENSG00000131910 1
ENSG00000134852 ENSG00000008405 1
ENSG00000134852 ENSG00000123095 1
ENSG00000134852 DEC1 1
ENSG00000134852 ENSG00000049246 1
ENSG00000134852 ENSG00000132326 1
ENSG00000134852 ENSG00000134107 1
ENSG00000121022 ENSG00000111276 -1
ENSG00000121022 ENSG00000112715 1
ENSG00000143320 ENSG00000131759 1
ENSG00000118260 ENSG00000116833 1
